index,Aq_sp_Aq107,Aq_sp_Aq135,Aq_sp_Aq349
PF08028.12,0.0650872168706066,0.07547169811320754,0.04649540857840288
PF02770.20,0.09112210361884926,0.07547169811320754,0.04649540857840288
PF02771.17,0.09112210361884926,0.06037735849056604,0.04649540857840288
PF01553.22,0.07810466024472794,0.09056603773584905,0.06974311286760432
PF00698.22,0.0520697734964853,0.045283018867924525,0.03487155643380216
PF01757.23,0.03905233012236397,0.045283018867924525,0.0581192607230036
PF02805.17,0.013017443374121324,0.01509433962264151,0.0
PF03352.14,0.013017443374121324,0.03018867924528302,0.01162385214460072
PF00709.22,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF08240.13,0.02603488674824265,0.01509433962264151,0.02324770428920144
PF00106.26,0.3905233012236397,0.37735849056603776,0.3370917121934209
PF13561.7,0.32543608435303306,0.3169811320754717,0.29059630361501804
PF00107.27,0.0520697734964853,0.01509433962264151,0.03487155643380216
PF13602.7,0.0520697734964853,0.01509433962264151,0.03487155643380216
PF00406.23,0.013017443374121324,0.03018867924528302,0.01162385214460072
PF05221.18,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF00670.22,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF00578.22,0.29940119760479045,0.3320754716981132,0.22085319074741366
PF13911.7,0.0,0.01509433962264151,0.0
PF08327.12,0.0520697734964853,0.03018867924528302,0.04649540857840288
PF01594.17,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF01808.19,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF04548.17,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF01987.18,0.02603488674824265,0.01509433962264151,0.01162385214460072
PF00731.21,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF00586.25,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF02769.23,0.03905233012236397,0.045283018867924525,0.03487155643380216
PF00490.22,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF01262.22,0.02603488674824265,0.045283018867924525,0.03487155643380216
PF05222.16,0.03905233012236397,0.045283018867924525,0.03487155643380216
PF00842.22,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF01168.21,0.02603488674824265,0.045283018867924525,0.03487155643380216
PF04326.15,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF00171.23,0.09112210361884926,0.1660377358490566,0.12786237359060793
PF01263.21,0.02603488674824265,0.01509433962264151,0.02324770428920144
PF00248.22,0.0520697734964853,0.03018867924528302,0.03487155643380216
PF02738.19,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF13372.7,0.013017443374121324,0.03018867924528302,0.02324770428920144
PF04864.14,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF00128.25,0.15620932048945588,0.07547169811320754,0.06974311286760432
PF02806.19,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF10369.10,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF01425.22,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF01520.19,0.02603488674824265,0.01509433962264151,0.01162385214460072
PF02274.18,0.02603488674824265,0.01509433962264151,0.01162385214460072
PF01979.21,0.18224420723769852,0.13584905660377358,0.19760548645821224
PF04909.15,0.02603488674824265,0.01509433962264151,0.02324770428920144
PF07969.12,0.15620932048945588,0.10566037735849057,0.17435778216901082
PF00155.22,0.3384535277271544,0.37735849056603776,0.3370917121934209
PF00202.22,0.07810466024472794,0.09056603773584905,0.10461466930140649
PF01063.20,0.03905233012236397,0.045283018867924525,0.03487155643380216
PF00266.20,0.24733142410830514,0.28679245283018867,0.25572474718121585
PF12897.8,0.0,0.03018867924528302,0.02324770428920144
PF01593.25,0.1171569903670919,0.06037735849056604,0.08136696501220504
PF00909.22,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF00501.29,0.19526165061181985,0.27169811320754716,0.08136696501220504
PF13193.7,0.1301744337412132,0.1660377358490566,0.01162385214460072
PF14535.7,0.0,0.01509433962264151,0.01162385214460072
PF16561.6,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF05195.17,0.013017443374121324,0.01509433962264151,0.02324770428920144
PF12895.8,0.15620932048945588,0.12075471698113208,0.17435778216901082
PF12894.8,0.0,0.01509433962264151,0.0
PF00023.31,0.0650872168706066,0.10566037735849057,0.13948622573520864
PF12796.8,0.07810466024472794,0.10566037735849057,0.15111007787980937
PF13606.7,0.07810466024472794,0.10566037735849057,0.12786237359060793
PF13637.7,0.07810466024472794,0.10566037735849057,0.13948622573520864
PF13857.7,0.07810466024472794,0.09056603773584905,0.13948622573520864
PF03702.15,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF04715.14,0.02603488674824265,0.03018867924528302,0.02324770428920144
PF08264.14,0.0520697734964853,0.06037735849056604,0.04649540857840288
PF02558.17,0.02603488674824265,0.01509433962264151,0.02324770428920144
PF08546.12,0.013017443374121324,0.01509433962264151,0.02324770428920144
PF02424.16,0.013017443374121324,0.03018867924528302,0.02324770428920144
PF01636.24,0.03905233012236397,0.03018867924528302,0.02324770428920144
PF01261.25,0.07810466024472794,0.01509433962264151,0.01162385214460072
PF02311.20,0.07810466024472794,0.12075471698113208,0.16273393002441008
PF06719.14,0.013017443374121324,0.01509433962264151,0.0
PF00025.22,0.0520697734964853,0.045283018867924525,0.04649540857840288
PF00491.22,0.03905233012236397,0.03018867924528302,0.03487155643380216
PF00764.20,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF03485.17,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF17293.3,0.02603488674824265,0.01509433962264151,0.0
PF02374.16,0.02603488674824265,0.01509433962264151,0.02324770428920144
PF17886.2,0.013017443374121324,0.01509433962264151,0.02324770428920144
PF03960.16,0.02603488674824265,0.03018867924528302,0.02324770428920144
PF01731.21,0.02603488674824265,0.01509433962264151,0.03487155643380216
PF08328.12,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF13502.7,0.02603488674824265,0.01509433962264151,0.01162385214460072
PF01037.22,0.1041395469929706,0.12075471698113208,0.15111007787980937
PF00733.22,0.013017443374121324,0.06037735849056604,0.03487155643380216
PF00710.21,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF01112.19,0.0,0.01509433962264151,0.02324770428920144
PF17763.2,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF05118.16,0.0,0.01509433962264151,0.01162385214460072
PF02261.17,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF01177.23,0.03905233012236397,0.03018867924528302,0.03487155643380216
PF13650.7,0.0650872168706066,0.03018867924528302,0.02324770428920144
PF01400.25,0.07810466024472794,0.07547169811320754,0.13948622573520864
PF04952.15,0.02603488674824265,0.01509433962264151,0.02324770428920144
PF11700.9,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF03477.17,0.013017443374121324,0.01509433962264151,0.02324770428920144
PF02222.23,0.07810466024472794,0.09056603773584905,0.06974311286760432
PF08442.11,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF02655.15,0.0650872168706066,0.10566037735849057,0.08136696501220504
PF13535.7,0.013017443374121324,0.045283018867924525,0.02324770428920144
PF13549.7,0.013017443374121324,0.03018867924528302,0.01162385214460072
PF00231.20,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF00119.21,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF00006.26,0.03905233012236397,0.045283018867924525,0.03487155643380216
PF00306.28,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF02874.24,0.02603488674824265,0.03018867924528302,0.02324770428920144
